"slang","formal"
"aj","saja"
"aja","saja"
"asu","anjing"
"apaan","apa"
"asik","asyik"
"asek","asyik"
"asbun","asal bunyi"
"ane","saya"
"anjim","anjing"
"ayok","ayo"
"aq","saya"
"bet","banget"
"b","saya,biasa"
"baktre","baterai"
"batrei","baterai"
"batre","baterai"
"benerin","perbaiki"
"bijimane","bagaimana"
"bijimana","bagaimana"
"bgmn","bagaimana"
"blum","belum"
"blm","belum"
"brapa","berapa"
"brpa","berapa"
"bng","abang"
"bg","abang"
"bngt","banget"
"cpat","cepat"
"cpt","cepat"
"cacilik","bocah cilik"
"capek","cape"
"de","dia"
"dhe","dia"
"dah","sudah"
"dapet","dapat"
"dapt","dapat"
"dittp","dititip"
"dpan","depan"
"dlm","dalam"
"dll","dan lainnya"
"dst","dan seterusnya"
"duit","uang"
"emang","memang"
"engga","tidak"
"err","error"
"eror","error"
"error","error"
"frezz","beku"
"ga","tidak"
"gaje","tidak jelas"
"gak","tidak"
"game play","permainan"
"gameplay","permainan"
"gblg","goblok"
"geblek","goblok"
"gitu","begitu"
"gk","tidak"
"gpp","tidak apa-apa"
"game","permainan"
"gem","permainan"
"gemnya","permainan"
"gem nya","permainan"
"gamenya","permainan"
"game nya","permainan"
"gmna","bagaimana"
"gmn","bagaimana"
"gw","saya"
"gue","saya"
"gege","bermain bagus"
"gg","bermain bagus"
"hp","hand phone"
"hlo","halo"
"hpus","hapus"
"hrus","wajib"
"hh","haha"
"hhh","haha"
"hhhh","haha"
"hhhhhh","haha"
"hahah","haha"
"hahaha","haha"
"hihih","haha"
"hahae","haha"
"hahahaeee","haha"
"ia","dia"
"jago","hebat"
"jd","jadi"
"jdi","jadi"
"jgn","jangan"
"jls","jelas"
"krna","karena"
"karna","karena"
"kntl","kontol"
"kwontol",kontol
"kocak","lucu"
"kmu","kamu"
"kalo","kalau"
"kesel","kesal"
"kek","seperti"
"klo","kalau"
"ku","aku,saya"
"lag","lambat"
"lek","lambat"
"lo","kamu"
"ls","kekalahan beruntun"
"lostrek","kekalahan beruntun"
"lossstreak","kakalahan beruntun"
"loss","kalah"
"los","kalah"
"lu","kamu"
"leg","lambat"
"maf","maaf"
"ml","aplikasi"
"mlbb","aplikasi"
"males","malas"
"monton","developer"
"montod","developer"
"muntod","developer"
"munton","developer"
"muntun","developer"
"mulu","terus"
"mlb","aplikasi"
"ndak","tidak"
"ngadu","lapor"
"nggak","tidak"
"ngelag","lambat"
"ngelek","lambat"
"ngpus","mendorong"
"nyiksa","menyiksa"
"ny","nya"
"nup","lemah"
"noob","lemah"
"org","orang"
"pake","pakai"
"ping","jaringan"
"ppk","puki"
"ppkk","puki"
"potem","cepat"
"pls","tolong"
"plis","tolong"
"pliss","tolong"
"make","pakai"
"nentuin","tentu"
"tentukan","tentu"
"tb","tada"
"sa","saya"
"sans","santai"
"skuy","ayo"
"sob","kawan"
"sue","anjing"
"sy","saya"
"sya","saya"
"tanggepin","respons"
"tdk","tidak"
"tp","tetapi"
"tapi","tetapi"
"tll","tolol"
"trus","terus"
"truz","terus"
"udah","sudah"
"utk","untuk"
"w","saya"
"wa","saya,whatsapp"
"we","saya"
"yg","yang"
"yup","ya"
"yok","ayo"
"yuk","ayo"
"yth","yang terhormat"
"yoi","iya"
"wan","kawan"
"za","saya"
"z","saya"
"zz","saya"
"zha","saya"
